team_size,rank_tier,min_rank,max_rank,is_win,day_of_week,date,server_region,player_goals,player_saves,player_shots,player_assists,player_score,player_boost_avg,player_boost_bpm,player_boost_bcpm,player_boost_percent_0_25,player_boost_percent_75_100,player_movement_avg_speed,player_movement_total_distance,player_movement_time_supersonic,player_movement_time_slow,player_positioning_avg_distance_to_ball,player_positioning_time_defensive,player_positioning_time_offensive,player_demos_inflicted,player_demos_taken,camera_fov,camera_height,camera_pitch,camera_distance,camera_stiffness,camera_swivel_speed,camera_transition_speed,games_already_played
3,19.0,19.0,19.0,0,Saturday,2022-11-12 16:45:28-06:00,USE,0,2,0,0,318,53.83,402,397.53436,35.58227,28.087526,1492,464872,60.55,156.85,2547,253.71,71.43,1,0,110,110,-3,280,0.45,10.0,1.7,0
3,NaN,17.0,19.0,1,Saturday,2022-11-12 16:51:51-06:00,USE,1,0,2,0,246,44.81,398,431.85648,43.437458,16.22731,1586,491775,71.65,147.83,2871,211.72,114.31,1,0,110,110,-3,280,0.45,10.0,1.7,1
3,19.0,19.0,19.0,1,Saturday,2022-11-12 21:45:56-06:00,USE,0,0,0,0,2,61.71,413,669.00287,26.606337,40.422325,1494,44262,6.0,21.6,2950,24.44,12.8,0,0,110,110,-3,280,0.45,10.0,1.7,2
3,19.0,18.0,19.0,1,Monday,2022-11-14 19:29:00-06:00,USE,1,2,2,0,322,57.21,321,367.35834,27.842398,31.68504,1439,454521,34.36,185.66,2822,215.95,115.53,3,1,110,110,-3,280,0.45,10.0,1.7,0
3,19.0,18.0,19.0,0,Monday,2022-11-14 19:48:16-06:00,USE,1,0,1,1,318,54.54,337,328.91876,32.238026,31.73585,1375,451910,27.57,213.16,2813,237.5,116.12,0,0,110,110,-3,280,0.45,10.0,1.7,1
3,19.0,18.0,19.0,1,Monday,2022-11-14 20:10:34-06:00,USE,3,3,4,1,748,53.16,372,377.53616,23.78609,32.180344,1430,483110,38.27,199.19,2668,255.01,114.56,0,2,110,110,-3,280,0.45,10.0,1.7,2
3,NaN,19.0,19.0,0,Monday,2022-11-14 20:45:04-06:00,USE,0,1,1,0,140,54.22,298,322.8197,18.300415,39.7415,1323,410409,26.44,217.37,3078,188.21,149.91,0,0,110,110,-3,280,0.45,10.0,1.7,3
3,19.0,19.0,19.0,1,Thursday,2022-11-17 01:26:35-06:00,USE,2,1,5,0,381,54.46,265,275.844,22.67449,31.072336,1274,425337,26.94,243.15,2599,209.82,135.77,0,3,110,110,-3,280,0.45,10.0,1.7,0
3,NaN,18.0,18.0,1,Thursday,2022-11-17 04:11:49-06:00,USE,2,4,3,0,617,50.79,319,315.78946,29.859543,21.61841,1326,542532,37.24,263.22,2598,304.66,128.31,1,0,110,110,-3,280,0.45,10.0,1.7,1
3,NaN,19.0,19.0,1,Thursday,2022-11-17 04:12:04-06:00,USE,2,4,3,0,617,50.56,319,314.21555,29.889282,21.585413,1330,543697,37.07,262.86,2609,305.5,128.43,1,0,110,110,-3,280,0.45,10.0,1.7,2
3,19.0,17.0,19.0,1,Thursday,2022-11-17 04:12:05-06:00,USE,2,4,3,0,617,50.59,320,315.59335,29.929848,21.576899,1328,543882,37.07,262.62,2590,305.04,128.21,1,0,110,110,-3,280,0.45,10.0,1.7,3
3,19.0,19.0,19.0,0,Friday,2022-11-18 19:39:04-06:00,USE,1,1,2,0,232,42.38,308,332.3583,37.997097,20.162266,1438,465399,55.66,191.87,2751,223.14,119.6,2,0,110,110,-3,280,0.45,10.0,1.7,0
3,NaN,20.0,20.0,1,Tuesday,2022-11-22 04:47:23-06:00,USE,1,0,1,0,217,51.41,412,422.53522,28.073383,25.927301,1492,495052,55.7,170.77,2751,211.57,139.41,0,0,110,110,-3,280,0.45,10.0,1.7,0
3,19.0,19.0,20.0,1,Tuesday,2022-11-22 04:47:26-06:00,USE,1,0,1,0,217,51.41,412,420.35526,28.068922,25.931536,1501,499014,57.71,170.84,2761,212.48,140.3,0,0,110,110,-3,280,0.45,10.0,1.7,1
3,19.0,19.0,20.0,1,Tuesday,2022-11-22 04:47:30-06:00,USE,1,0,1,0,217,51.41,412,420.5032,28.081505,25.886654,1501,499006,57.5,170.44,2768,212.1,140.56,0,0,110,110,-3,280,0.45,10.0,1.7,2
3,NaN,20.0,20.0,1,Tuesday,2022-11-22 04:55:45-06:00,USE,1,1,1,0,309,46.42,365,389.73303,32.079964,18.213533,1548,531749,78.52,176.61,2874,255.2,111.78,0,0,110,110,-3,280,0.45,10.0,1.7,3
3,NaN,20.0,20.0,0,Tuesday,2022-11-22 05:05:53-06:00,USE,1,1,2,0,278,45.06,327,321.3256,41.701656,22.301699,1409,470598,41.43,215.4,2788,256.75,101.02,0,1,110,110,-3,280,0.45,10.0,1.7,4
3,19.0,19.0,20.0,0,Tuesday,2022-11-22 05:05:53-06:00,USE,1,1,2,0,278,45.06,327,321.34433,41.66208,22.306868,1408,470627,41.58,215.65,2779,256.71,101.05,0,1,110,110,-3,280,0.45,10.0,1.7,5
3,NaN,19.0,19.0,1,Tuesday,2022-11-22 05:13:24-06:00,USE,2,1,5,1,469,43.06,348,342.0534,29.884956,17.396877,1438,459890,43.48,196.12,2960,216.11,131.04,0,2,110,110,-3,280,0.45,10.0,1.7,6
3,NaN,19.0,20.0,1,Tuesday,2022-11-22 05:13:24-06:00,USE,2,1,5,1,469,43.06,348,342.0534,29.90462,17.377048,1438,459867,43.58,196.4,2959,216.25,131.07,0,2,110,110,-3,280,0.45,10.0,1.7,7
3,NaN,19.0,20.0,0,Tuesday,2022-11-22 05:22:46-06:00,USW,0,1,4,1,208,53.69,352,395.54285,27.994158,28.876225,1411,464715,43.22,201.17,3103,217.06,139.99,0,2,110,110,-3,280,0.45,10.0,1.7,8
3,NaN,20.0,20.0,1,Tuesday,2022-11-22 05:31:58-06:00,USE,2,0,3,3,557,49.94,295,291.34344,29.18783,23.230158,1419,505960,53.46,249.76,2894,287.19,120.4,0,0,110,110,-3,280,0.45,10.0,1.7,9
3,19.0,19.0,19.0,0,Thursday,2022-11-24 02:12:58-06:00,USE,1,1,2,0,289,50.1,415,446.9576,29.731438,21.589445,1481,501510,69.06,202.09,3322,243.99,129.98,1,1,110,110,-3,280,0.45,10.0,1.7,0
3,19.0,19.0,19.0,0,Sunday,2022-11-27 03:17:36-06:00,USE,0,3,0,0,320,51.24,421,440.22824,31.796986,25.345465,1567,516283,66.39,177.31,2888,231.79,133.64,0,1,110,110,-3,280,0.45,10.0,1.7,0
